seed,tau,Group,rs,rm
8,0.40000000,Overall,0.83159463,0.83159463
8,0.40000000,High-Risk,0.93928571,0.94285714
8,0.40000000,Low-Risk,0.69811321,0.69811321
8,0.50000000,Overall,0.71236960,0.73025335
8,0.50000000,High-Risk,0.88571429,0.89642857
8,0.50000000,Low-Risk,0.49685535,0.51572327
8,0.60000000,Overall,0.60208644,0.60208644
8,0.60000000,High-Risk,0.81071429,0.80357143
8,0.60000000,Low-Risk,0.37106918,0.36477987
8,0.70000000,Overall,0.46646796,0.45454545
8,0.70000000,High-Risk,0.66428571,0.64642857
8,0.70000000,Low-Risk,0.23899371,0.23270440
9,0.30000000,Overall,0.91207154,0.90909091
9,0.30000000,High-Risk,0.96031746,0.96031746
9,0.30000000,Low-Risk,0.82014388,0.81294964
9,0.40000000,Overall,0.81967213,0.82563338
9,0.40000000,High-Risk,0.90476190,0.90476190
9,0.40000000,Low-Risk,0.66187050,0.67625899
9,0.50000000,Overall,0.73025335,0.72876304
9,0.50000000,High-Risk,0.83333333,0.84126984
9,0.50000000,Low-Risk,0.53956835,0.52517986
9,0.60000000,Overall,0.61698957,0.62295082
9,0.60000000,High-Risk,0.74603175,0.76190476
9,0.60000000,Low-Risk,0.38848921,0.41007194
9,0.70000000,Overall,0.46944858,0.45901639
9,0.70000000,High-Risk,0.59920635,0.57936508
9,0.70000000,Low-Risk,0.25179856,0.21582734
10,0.30000000,Overall,0.90461997,0.91356185
10,0.30000000,High-Risk,0.97142857,0.97551020
10,0.30000000,Low-Risk,0.80645161,0.81290323
10,0.40000000,Overall,0.83755589,0.83606557
10,0.40000000,High-Risk,0.92244898,0.93877551
10,0.40000000,Low-Risk,0.69677419,0.67741935
10,0.50000000,Overall,0.75111773,0.76154993
10,0.50000000,High-Risk,0.87346939,0.88979592
10,0.50000000,Low-Risk,0.56129032,0.56774194
10,0.60000000,Overall,0.63636364,0.65126677
10,0.60000000,High-Risk,0.80000000,0.82040816
10,0.60000000,Low-Risk,0.36774194,0.36129032
10,0.70000000,Overall,0.50372578,0.50968703
10,0.70000000,High-Risk,0.67346939,0.66938776
10,0.70000000,Low-Risk,0.22580645,0.23225806
11,0.30000000,Overall,0.89269747,0.90760060
11,0.30000000,High-Risk,0.96551724,0.98850575
11,0.30000000,Low-Risk,0.75714286,0.75714286
11,0.40000000,Overall,0.81967213,0.82712370
11,0.40000000,High-Risk,0.91570881,0.91954023
11,0.40000000,Low-Risk,0.62142857,0.66428571
11,0.50000000,Overall,0.73770492,0.74664680
11,0.50000000,High-Risk,0.88122605,0.88505747
11,0.50000000,Low-Risk,0.50000000,0.50000000
11,0.60000000,Overall,0.63040238,0.61698957
11,0.60000000,High-Risk,0.80842912,0.79693487
11,0.60000000,Low-Risk,0.33571429,0.30000000
11,0.70000000,Overall,0.50372578,0.48882265
11,0.70000000,High-Risk,0.65900383,0.66283525
11,0.70000000,Low-Risk,0.22857143,0.21428571
12,0.30000000,Overall,0.90163934,0.90909091
12,0.30000000,High-Risk,0.97058824,0.99264706
12,0.30000000,Low-Risk,0.85256410,0.83974359
12,0.40000000,Overall,0.81073025,0.80625931
12,0.40000000,High-Risk,0.93750000,0.92647059
12,0.40000000,Low-Risk,0.70512821,0.69871795
