seed,Group,Model,ROC,PR,Rec,F1
25,Marginal,M,0.67837691,0.68260568,0.59558824,0.62068966
25,Clear,S,0.88704984,0.90592630,0.84210526,0.84528302
25,Clear,M,0.88910195,0.90898132,0.84210526,0.84528302
26,Marginal,S,0.66413367,0.72911843,0.57966102,0.64165103
26,Marginal,M,0.65926580,0.71518813,0.58983051,0.63970588
26,Clear,S,0.89488233,0.90040468,0.83244681,0.85519126
26,Clear,M,0.89456802,0.89961759,0.83244681,0.85402456
27,Marginal,S,0.65898184,0.67746924,0.61290323,0.64285714
27,Marginal,M,0.65395480,0.66955890,0.60931900,0.64150943
27,Clear,S,0.88566410,0.89716252,0.83928571,0.85454545
27,Clear,M,0.88358147,0.89305292,0.84438776,0.85751295
28,Marginal,S,0.66704008,0.70284935,0.61812298,0.65410959
28,Marginal,M,0.66698476,0.71292840,0.60841424,0.64054514
28,Clear,S,0.88739720,0.88902257,0.87292818,0.86456908
28,Clear,M,0.89163532,0.89238977,0.87292818,0.86338798
29,Marginal,S,0.67141716,0.71077219,0.60273973,0.64705882
29,Marginal,M,0.66668714,0.72337815,0.62328767,0.65585586
29,Clear,S,0.88159838,0.88678777,0.83113456,0.84224599
29,Clear,M,0.88043677,0.88427770,0.83113456,0.84224599
30,Marginal,S,0.61126142,0.63946158,0.55208333,0.59107807
30,Marginal,M,0.62617244,0.64687823,0.58333333,0.61764706
30,Clear,S,0.88957298,0.90687488,0.81984334,0.85442177
30,Clear,M,0.88600185,0.90369181,0.81984334,0.85326087
31,Marginal,S,0.62874329,0.63681002,0.55056180,0.59154930
31,Marginal,M,0.63926585,0.65235613,0.58426966,0.61417323
31,Clear,S,0.88939636,0.90951450,0.84405941,0.85678392
31,Clear,M,0.88280102,0.89628359,0.84405941,0.85678392
32,Marginal,S,0.67320919,0.71404282,0.59136213,0.63685152
32,Marginal,M,0.66650638,0.70822932,0.61461794,0.65255732
32,Clear,S,0.88622744,0.89276109,0.84864865,0.86145405
32,Clear,M,0.88613246,0.89811724,0.84864865,0.86145405
33,Marginal,S,0.64825041,0.66465687,0.57966102,0.62068966
33,Marginal,M,0.64475123,0.67214910,0.60000000,0.61888112
33,Clear,S,0.89290901,0.90667702,0.85106383,0.87312415
33,Clear,M,0.89663968,0.91061308,0.85106383,0.87312415
34,Marginal,S,0.65510201,0.64909339,0.58007117,0.59816514
34,Marginal,M,0.65643476,0.65239339,0.57651246,0.59889094
34,Clear,S,0.90272325,0.92403155,0.83333333,0.86666667
34,Clear,M,0.90237843,0.92552586,0.83333333,0.86666667
35,Marginal,S,0.64683621,0.66495716,0.60810811,0.64056940
35,Marginal,M,0.64355933,0.67327332,0.58445946,0.62007168
35,Clear,S,0.89916883,0.91591073,0.85333333,0.86603518
35,Clear,M,0.89767965,0.91563980,0.85333333,0.86603518
36,Marginal,S,0.62250577,0.65000756,0.57755776,0.61511424
36,Marginal,M,0.63667371,0.68004874,0.59405941,0.62827225
36,Clear,S,0.88323316,0.89194524,0.87771739,0.86479250
36,Clear,M,0.88380903,0.89102071,0.87500000,0.86327078
37,Marginal,S,0.60299656,0.61995311,0.55326460,0.58759124
37,Marginal,M,0.62265292,0.65423215,0.59793814,0.61159930
37,Clear,S,0.89861639,0.91355553,0.86052632,0.87550201
37,Clear,M,0.90359920,0.91978181,0.85789474,0.87399464
38,Marginal,S,0.67903568,0.69315695,0.63258786,0.65131579
38,Marginal,M,0.66330512,0.68338678,0.62300319,0.64569536
38,Clear,S,0.92606275,0.93412468,0.84636872,0.88081395
