seed,Model,ROC,PR,Rec,F1
1,S,0.8274735476335427,0.8437219940155505,0.7526080476900149,0.7651515151515151
1,M,0.8143334499505523,0.8345270510557008,0.7496274217585693,0.761544284632854
2,S,0.8165620325554873,0.8429724440864007,0.7391952309985097,0.7607361963190185
2,M,0.7984909548195509,0.8297984894762104,0.7228017883755589,0.7421576128538638
3,S,0.818388423491299,0.8509521194986259,0.7421758569299552,0.7562642369020501
3,M,0.8131516675803213,0.8433238136081709,0.7481371087928465,0.7611827141774071
4,S,0.8153086270113027,0.8348197007654224,0.7585692995529061,0.7683018867924528
4,M,0.804746963590635,0.8256181279614295,0.7421758569299552,0.7556904400606981
5,S,0.8201156438785602,0.8471774304953676,0.7451564828614009,0.7662835249042146
5,M,0.805226287908631,0.8354597529464209,0.7332339791356185,0.754601226993865
6,S,0.8050582489235865,0.8288842100426814,0.7436661698956781,0.7595129375951294
6,M,0.7945930013140098,0.8190529950749704,0.7332339791356185,0.7557603686635944
7,S,0.8452388495114473,0.8703056943109305,0.7526080476900149,0.7823392718822618
7,M,0.8310216494816962,0.855836908788721,0.7466467958271237,0.7725520431765613
8,S,0.8119643757351706,0.8426299902134846,0.7123695976154992,0.7439688715953308
8,M,0.7966397712466013,0.8254838101598576,0.7317436661698957,0.7479055597867479
9,S,0.8103005143094839,0.8344921546316235,0.7302533532041728,0.7532667179093006
9,M,0.7960640311175143,0.8216230546947108,0.7317436661698957,0.7445034116755117
10,S,0.8219282611270733,0.8346314163566857,0.7511177347242921,0.7712318286151492
10,M,0.8078295148080912,0.8183837239433147,0.7585692995529061,0.7700453857791225
11,S,0.8307461757357215,0.8548363435014675,0.7377049180327869,0.7668474051123161
11,M,0.8229998539989146,0.8492084988277058,0.7481371087928465,0.766412213740458
12,S,0.8124767569026834,0.831395419247774,0.6974664679582713,0.740506329113924
12,M,0.7990942423232353,0.8185960496520364,0.676602086438152,0.7223548130469372
13,S,0.8001988920445937,0.8339787789425646,0.7198211624441133,0.7385321100917431
13,M,0.7940751106715774,0.8276443194865429,0.7287630402384501,0.743161094224924
14,S,0.8007167826870261,0.8258825542988659,0.7391952309985097,0.7560975609756098
14,M,0.793221142059056,0.8167027458345015,0.7347242921013413,0.7486712224753227
15,S,0.8135208023999273,0.8386956766693678,0.7302533532041728,0.7567567567567568
15,M,0.8001906278322144,0.8308774183030699,0.7302533532041728,0.7492354740061162
16,S,0.8280630614499285,0.8483155678896334,0.7540983606557377,0.7766692248656946
16,M,0.8057221406513851,0.83206675702779,0.7272727272727273,0.7467482785003825
17,S,0.8165289757059705,0.8508164993968004,0.7078986587183308,0.749802683504341
17,M,0.8057827448754996,0.8396995395695686,0.7213114754098361,0.7509697439875873
18,S,0.8302090019310711,0.8545416368594798,0.7406855439642325,0.7646153846153846
18,M,0.8119864136348485,0.8344442892103324,0.7436661698956781,0.7624140565317036
19,S,0.8210990851516896,0.8568557413553752,0.7213114754098361,0.7580266249021144
19,M,0.8045789246055906,0.838396434615413,0.7213114754098361,0.7480680061823802
20,S,0.8268151653806635,0.8432601369779642,0.736214605067064,0.761757902852737
20,M,0.8177658528253964,0.8353900137745076,0.7436661698956781,0.7629969418960245
21,S,0.8176694370143053,0.8450415349565911,0.7213114754098361,0.7480680061823802
21,M,0.8050114183867705,0.8317151112917316,0.7317436661698957,0.7479055597867479
22,S,0.8159036503026079,0.8442882595022254,0.7317436661698957,0.7553846153846154
22,M,0.8076311737109895,0.8381169515413035,0.7272727272727273,0.7496159754224271
23,S,0.838409855348736,0.8600414357417843,0.7749627421758569,0.7890743550834598
23,M,0.8183939329662188,0.8370883090198464,0.7540983606557377,0.7678300455235205
24,S,0.8020087545556471,0.8307858080677036,0.7108792846497765,0.7418351477449455
24,M,0.7978986862657056,0.8255279689505026,0.7242921013412816,0.745398773006135
25,S,0.8190523152190979,0.8472488141248141,0.7391952309985097,0.7619047619047619
25,M,0.8047083972661986,0.8339314662399865,0.7511177347242921,0.7607547169811321
26,S,0.8349168482497775,0.8557152032473747,0.7213114754098361,0.7652173913043478
26,M,0.8193112605403142,0.8422065601065475,0.7183308494783904,0.7525370804059328
27,S,0.8218704116404186,0.8442228488716597,0.7451564828614009,0.7680491551459293
27,M,0.8094189983223649,0.8358894919246806,0.7168405365126677,0.7463149728471683
28,S,0.8244405816903619,0.8398470251046328,0.7555886736214605,0.7711026615969582
28,M,0.8180578549961296,0.8351787341883645,0.7526080476900149,0.771581359816654
29,S,0.8189972204699032,0.8384290834094139,0.7317436661698957,0.760061919504644
