seed,tau,Group,rs,rm
21,0.5,Overall,0.7213114754098361,0.7332339791356185
21,0.5,High-Risk,0.8512396694214877,0.8842975206611571
21,0.5,Low-Risk,0.5328947368421053,0.5328947368421053
21,0.6,Overall,0.6095380029806259,0.5737704918032787
21,0.6,High-Risk,0.7975206611570248,0.756198347107438
21,0.6,Low-Risk,0.3618421052631579,0.3684210526315789
21,0.7,Overall,0.4932935916542474,0.4277198211624441
21,0.7,High-Risk,0.71900826446281,0.6239669421487604
21,0.7,Low-Risk,0.2236842105263158,0.17763157894736842
22,0.3,Overall,0.9001490312965723,0.9210134128166915
22,0.3,High-Risk,0.9742489270386266,0.9828326180257511
22,0.3,Low-Risk,0.7716049382716049,0.808641975308642
22,0.4,Overall,0.8256333830104322,0.8464977645305514
22,0.4,High-Risk,0.9184549356223176,0.9356223175965666
22,0.4,Low-Risk,0.6666666666666666,0.7037037037037037
22,0.5,Overall,0.7317436661698957,0.7302533532041728
22,0.5,High-Risk,0.8669527896995708,0.871244635193133
22,0.5,Low-Risk,0.5246913580246914,0.5123456790123457
22,0.6,Overall,0.6140089418777943,0.5782414307004471
22,0.6,High-Risk,0.7896995708154506,0.7253218884120172
22,0.6,Low-Risk,0.3395061728395062,0.30864197530864196
22,0.7,Overall,0.47391952309985097,0.4202682563338301
22,0.7,High-Risk,0.648068669527897,0.5793991416309013
22,0.7,Low-Risk,0.20987654320987653,0.14814814814814814
23,0.3,Overall,0.9269746646795827,0.9374068554396423
23,0.3,High-Risk,0.9923076923076923,0.9923076923076923
23,0.3,Low-Risk,0.8367346938775511,0.8571428571428571
23,0.4,Overall,0.8435171385991058,0.8584202682563339
23,0.4,High-Risk,0.9653846153846154,0.9692307692307692
23,0.4,Low-Risk,0.6326530612244898,0.7074829931972789
23,0.5,Overall,0.7749627421758569,0.7555886736214605
23,0.5,High-Risk,0.9346153846153846,0.926923076923077
23,0.5,Low-Risk,0.5102040816326531,0.48299319727891155
23,0.6,Overall,0.6512667660208644,0.6110283159463488
23,0.6,High-Risk,0.8461538461538461,0.8038461538461539
23,0.6,Low-Risk,0.3129251700680272,0.30612244897959184
