seed,design,Model,ROC,PR,Rec,F1
25,FULL,M,0.80926749,0.84036373,0.74962742,0.75981873
25,FOLD,S,0.81905232,0.84724881,0.73919523,0.76190476
25,FOLD,M,0.81076882,0.84068142,0.74515648,0.75642965
26,FULL,S,0.83487002,0.85569568,0.72131148,0.76521739
26,FULL,M,0.83071036,0.84938146,0.73025335,0.76562500
26,FOLD,S,0.83487002,0.85569568,0.72131148,0.76521739
26,FOLD,M,0.83604354,0.85561140,0.73919523,0.77018634
27,FULL,S,0.82187041,0.84422285,0.74515648,0.76804916
27,FULL,M,0.81496428,0.83988773,0.75409836,0.76550681
27,FOLD,S,0.82187041,0.84422285,0.74515648,0.76804916
27,FOLD,M,0.81514885,0.83895632,0.74068554,0.75474563
28,FULL,S,0.82444058,0.83984703,0.75558867,0.77110266
28,FULL,M,0.81467504,0.83254612,0.75260805,0.76864536
28,FOLD,S,0.82444058,0.83984703,0.75558867,0.77110266
28,FOLD,M,0.81138037,0.82782700,0.75558867,0.76586103
29,FULL,S,0.81901650,0.83844274,0.73174367,0.76006192
29,FULL,M,0.81573561,0.83665767,0.75260805,0.76168929
29,FOLD,S,0.81901650,0.83844274,0.73174367,0.76006192
29,FOLD,M,0.81829752,0.83981375,0.74217586,0.75972540
30,FULL,S,0.81858401,0.84854346,0.70491803,0.74312647
30,FULL,M,0.81785676,0.85017785,0.71982116,0.74652241
30,FOLD,S,0.81858401,0.84854346,0.70491803,0.74312647
30,FOLD,M,0.81926718,0.85108929,0.71684054,0.74747475
31,FULL,S,0.82116244,0.85085557,0.72727273,0.75483372
31,FULL,M,0.81659233,0.84107559,0.74217586,0.76438987
31,FOLD,S,0.82116244,0.85085557,0.72727273,0.75483372
31,FOLD,M,0.81560614,0.84079546,0.73174367,0.75830116
32,FULL,S,0.82952583,0.84738199,0.73323398,0.76456876
32,FULL,M,0.82372986,0.84069957,0.73621461,0.76117103
32,FOLD,S,0.82946522,0.84738901,0.73323398,0.76397516
32,FOLD,M,0.82562236,0.84654363,0.74217586,0.76263400
33,FULL,S,0.82826967,0.85287118,0.73174367,0.76479751
33,FULL,M,0.81857575,0.84880225,0.73919523,0.76015326
33,FOLD,S,0.82827242,0.85287607,0.73174367,0.76479751
33,FOLD,M,0.81616260,0.84363952,0.73770492,0.76153846
34,FULL,S,0.83066629,0.86213434,0.72727273,0.75366795
34,FULL,M,0.81646837,0.85158032,0.72578241,0.75270479
34,FOLD,S,0.83066629,0.86213434,0.72727273,0.75366795
34,FOLD,M,0.82112112,0.85644707,0.72578241,0.75328693
35,FULL,S,0.82964979,0.85693088,0.74515648,0.76863951
35,FULL,M,0.82124509,0.85232144,0.73025335,0.75675676
35,FOLD,S,0.82963602,0.85690901,0.74515648,0.76863951
35,FOLD,M,0.81788706,0.84861262,0.72578241,0.74865488
36,FULL,S,0.81257042,0.83291997,0.74217586,0.75683891
36,FULL,M,0.80641633,0.82229668,0.73472429,0.74980989
36,FOLD,S,0.81257042,0.83291997,0.74217586,0.75683891
36,FOLD,M,0.80760363,0.82587736,0.75856930,0.76026886
37,FULL,S,0.82099991,0.84983900,0.72727273,0.75366795
37,FULL,M,0.81959775,0.85420545,0.74217586,0.76146789
37,FOLD,S,0.82098890,0.84983105,0.72727273,0.75366795
37,FOLD,M,0.81552074,0.84721648,0.74068554,0.75762195
38,FULL,S,0.84417277,0.86959976,0.74664680,0.77314815
38,FULL,M,0.83370752,0.85672288,0.73919523,0.76839659
38,FOLD,S,0.84417277,0.86959976,0.74664680,0.77314815
38,FOLD,M,0.83466892,0.86029578,0.74068554,0.77233877
39,FULL,S,0.85536526,0.86915145,0.76453055,0.78741366
39,FULL,M,0.85561870,0.87297314,0.79284650,0.80060196
39,FOLD,S,0.85537628,0.86915574,0.76453055,0.78741366
39,FOLD,M,0.85703188,0.87310185,0.78688525,0.79338843
40,FULL,S,0.82960847,0.85391749,0.74068554,0.76638396
40,FULL,M,0.82491164,0.84812691,0.74068554,0.76461538
40,FOLD,S,0.82960847,0.85391749,0.74068554,0.76638396
40,FOLD,M,0.82664437,0.84678856,0.74217586,0.76380368
41,FULL,S,0.81127294,0.83800115,0.72727273,0.75250578
41,FULL,M,0.80503621,0.82942718,0.72429210,0.74826790
41,FOLD,S,0.81127845,0.83800286,0.72727273,0.75250578
41,FOLD,M,0.80456791,0.83160559,0.72578241,0.74578867
42,FULL,S,0.82360314,0.85521542,0.70640835,0.75000000
42,FULL,M,0.82181532,0.84804583,0.71087928,0.74941084
42,FOLD,S,0.82352325,0.85514451,0.70640835,0.75000000
42,FOLD,M,0.82106603,0.85191014,0.71535022,0.75235110
43,FULL,S,0.80636124,0.83129666,0.76005961,0.76576577
43,FULL,M,0.80268091,0.82998887,0.75558867,0.75671642
43,FOLD,S,0.80636399,0.83129891,0.76005961,0.76576577
43,FOLD,M,0.80695902,0.82887340,0.75111773,0.75618905
44,FULL,S,0.83575980,0.85454123,0.77794337,0.78851964
44,FULL,M,0.82839914,0.85022251,0.74813711,0.75888133
44,FOLD,S,0.83575980,0.85454123,0.77794337,0.78851964
44,FOLD,M,0.82696392,0.85083450,0.75409836,0.76783005
45,FULL,S,0.80752374,0.82809552,0.72876304,0.75638051
45,FULL,M,0.80832261,0.83014249,0.72578241,0.75503876
45,FOLD,S,0.80752374,0.82809552,0.72876304,0.75638051
45,FOLD,M,0.80518221,0.83197380,0.73025335,0.75326672
46,FULL,S,0.80919311,0.82783728,0.73770492,0.75342466
46,FULL,M,0.80239717,0.82155102,0.74366617,0.75263952
46,FOLD,S,0.80919036,0.82783219,0.73770492,0.75342466
46,FOLD,M,0.80497836,0.82409416,0.72727273,0.74220532
47,FULL,S,0.80871930,0.83001243,0.72876304,0.75172944
47,FULL,M,0.80360099,0.82258013,0.71833085,0.74844720
47,FOLD,S,0.80871930,0.83001243,0.72876304,0.75172944
47,FOLD,M,0.80727306,0.83092720,0.72727273,0.74617737
48,FULL,S,0.82470228,0.84792170,0.71087928,0.75177305
48,FULL,M,0.81566399,0.84133180,0.70491803,0.74371069
48,FOLD,S,0.82470228,0.84792170,0.71087928,0.75177305
48,FOLD,M,0.81703309,0.84477664,0.71833085,0.74902875
49,FULL,S,0.82114592,0.84317036,0.76453055,0.77786202
49,FULL,M,0.81597252,0.83977563,0.75856930,0.76541353
49,FOLD,S,0.82114592,0.84317036,0.76453055,0.77786202
49,FOLD,M,0.81195060,0.83697995,0.76453055,0.77027027
50,FULL,S,0.82757272,0.85282401,0.77198212,0.78012048
50,FULL,M,0.83034674,0.85737744,0.78688525,0.78688525
50,FOLD,S,0.82757272,0.85282401,0.77198212,0.78012048
50,FOLD,M,0.82555350,0.85072767,0.76751118,0.77327327
