seed,design,Group,Model,ROC,Rec
16,FOLD,Clear,M,0.88720795,0.83989501
17,FULL,Marginal,S,0.64601316,0.56457565
17,FULL,Marginal,M,0.62366437,0.60147601
17,FULL,Clear,S,0.88204180,0.80500000
17,FULL,Clear,M,0.87446945,0.80500000
17,FOLD,Marginal,S,0.64638216,0.56457565
17,FOLD,Marginal,M,0.63226376,0.60516605
17,FOLD,Clear,S,0.88204180,0.80500000
17,FOLD,Clear,M,0.87624598,0.80250000
18,FULL,Marginal,S,0.65383919,0.58712121
18,FULL,Marginal,M,0.64784800,0.63257576
18,FULL,Clear,S,0.89522155,0.84029484
18,FULL,Clear,M,0.89649242,0.84029484
18,FOLD,Marginal,S,0.65408065,0.58712121
18,FOLD,Marginal,M,0.63535253,0.60606061
18,FOLD,Clear,S,0.89522155,0.84029484
18,FOLD,Clear,M,0.90024570,0.83783784
19,FULL,Marginal,S,0.66625460,0.61774744
19,FULL,Marginal,M,0.64245788,0.62798635
19,FULL,Clear,S,0.89771030,0.80158730
19,FULL,Clear,M,0.89750751,0.80158730
19,FOLD,Marginal,S,0.66641584,0.61774744
19,FOLD,Marginal,M,0.64146355,0.60068259
19,FOLD,Clear,S,0.89771030,0.80158730
19,FOLD,Clear,M,0.89798684,0.80158730
20,FULL,Marginal,S,0.65578547,0.57770270
20,FULL,Marginal,M,0.65039414,0.58445946
20,FULL,Clear,S,0.89086157,0.86133333
20,FULL,Clear,M,0.88849612,0.85866667
20,FOLD,Marginal,S,0.65578547,0.57770270
20,FOLD,Marginal,M,0.64035755,0.58445946
20,FOLD,Clear,S,0.89086157,0.86133333
20,FOLD,Clear,M,0.88897453,0.86133333
21,FULL,Marginal,S,0.61056373,0.54838710
21,FULL,Marginal,M,0.59712662,0.55913978
21,FULL,Clear,S,0.89186883,0.84438776
21,FULL,Clear,M,0.89608393,0.84438776
21,FOLD,Marginal,S,0.61056373,0.54838710
21,FOLD,Marginal,M,0.60666457,0.56630824
