seed,Group,fs,fm,rate
47,Low-Risk,74,72,2.7027027027027026
48,Overall,194,205,-5.670103092783505
48,High-Risk,40,38,5.0
48,Low-Risk,74,81,-9.45945945945946
49,Overall,158,164,-3.7974683544303796
49,High-Risk,31,25,19.35483870967742
49,Low-Risk,68,74,-8.823529411764707
50,Overall,153,167,-9.15032679738562
50,High-Risk,34,39,-14.705882352941176
50,Low-Risk,60,65,-8.333333333333334
