seed,design,Group,fs,fm
29,FOLD,High-Risk,38,35
29,FOLD,Low-Risk,67,56
30,FULL,Overall,198,188
30,FULL,High-Risk,35,38
30,FULL,Low-Risk,82,74
30,FOLD,Overall,198,190
30,FOLD,High-Risk,35,40
30,FOLD,Low-Risk,82,72
31,FULL,Overall,183,173
31,FULL,High-Risk,34,32
31,FULL,Low-Risk,72,68
31,FOLD,Overall,183,180
31,FOLD,High-Risk,34,32
31,FOLD,Low-Risk,72,71
32,FULL,Overall,179,177
32,FULL,High-Risk,35,35
32,FULL,Low-Risk,72,63
32,FOLD,Overall,179,173
32,FOLD,High-Risk,35,31
32,FOLD,Low-Risk,72,65
33,FULL,Overall,180,175
33,FULL,High-Risk,34,37
33,FULL,Low-Risk,73,68
33,FOLD,Overall,180,176
33,FOLD,High-Risk,34,32
33,FOLD,Low-Risk,73,65
34,FULL,Overall,183,184
34,FULL,High-Risk,29,28
34,FULL,Low-Risk,71,70
34,FOLD,Overall,183,184
34,FOLD,High-Risk,29,33
34,FOLD,Low-Risk,71,68
35,FULL,Overall,171,181
35,FULL,High-Risk,27,31
35,FULL,Low-Risk,62,65
35,FOLD,Overall,171,184
35,FOLD,High-Risk,27,33
35,FOLD,Low-Risk,62,70
36,FULL,Overall,173,178
36,FULL,High-Risk,36,32
36,FULL,Low-Risk,62,63
36,FOLD,Overall,173,162
36,FOLD,High-Risk,36,31
36,FOLD,Low-Risk,62,57
37,FULL,Overall,183,173
37,FULL,High-Risk,26,23
37,FULL,Low-Risk,73,68
37,FOLD,Overall,183,174
37,FOLD,High-Risk,26,23
37,FOLD,Low-Risk,73,63
38,FULL,Overall,170,175
38,FULL,High-Risk,26,28
38,FULL,Low-Risk,68,68
38,FOLD,Overall,170,174
38,FOLD,High-Risk,26,27
38,FOLD,Low-Risk,68,70
39,FULL,Overall,158,139
39,FULL,High-Risk,30,25
39,FULL,Low-Risk,59,49
39,FOLD,Overall,158,143
39,FOLD,High-Risk,30,25
39,FOLD,Low-Risk,59,53
40,FULL,Overall,174,174
40,FULL,High-Risk,29,31
40,FULL,Low-Risk,67,59
40,FOLD,Overall,174,173
40,FOLD,High-Risk,29,32
40,FOLD,Low-Risk,67,59
41,FULL,Overall,183,185
41,FULL,High-Risk,31,27
41,FULL,Low-Risk,76,81
41,FOLD,Overall,183,184
41,FOLD,High-Risk,31,30
41,FOLD,Low-Risk,76,75
42,FULL,Overall,197,194
42,FULL,High-Risk,35,32
42,FULL,Low-Risk,86,81
42,FOLD,Overall,197,191
42,FOLD,High-Risk,35,36
42,FOLD,Low-Risk,86,78
43,FULL,Overall,161,164
43,FULL,High-Risk,20,20
43,FULL,Low-Risk,62,61
43,FOLD,Overall,161,167
43,FOLD,High-Risk,20,22
43,FOLD,Low-Risk,62,64
44,FULL,Overall,149,169
44,FULL,High-Risk,30,35
44,FULL,Low-Risk,51,55
44,FOLD,Overall,149,165
44,FOLD,High-Risk,30,32
44,FOLD,Low-Risk,51,59
45,FULL,Overall,182,184
45,FULL,High-Risk,30,30
45,FULL,Low-Risk,74,72
45,FOLD,Overall,182,181
45,FOLD,High-Risk,30,26
45,FOLD,Low-Risk,74,70
46,FULL,Overall,176,172
46,FULL,High-Risk,34,36
46,FULL,Low-Risk,73,72
46,FOLD,Overall,176,183
46,FOLD,High-Risk,34,35
46,FOLD,Low-Risk,73,75
47,FULL,Overall,182,189
47,FULL,High-Risk,30,32
