seed,Group,Model,ROC,PR,Rec,F1
1,Marginal,S,0.6451093951093951,0.6847119130692767,0.597972972972973,0.6276595744680851
1,Marginal,M,0.6176289926289926,0.6434832689801648,0.5675675675675675,0.5968028419182948
1,Clear,S,0.8983569892473119,0.8970923493442088,0.8746666666666667,0.8677248677248677
1,Clear,M,0.893505376344086,0.899432630778839,0.8746666666666667,0.8665785997357992
2,Marginal,S,0.6281699565071931,0.6573425198033905,0.6295081967213115,0.6453781512605042
2,Marginal,M,0.5913415858146538,0.6241702579691712,0.6,0.61
2,Clear,S,0.8916611283414563,0.9041333485089547,0.8306010928961749,0.8575458392101551
2,Clear,M,0.8821905922315758,0.8895166643861433,0.8306010928961749,0.8575458392101551
3,Marginal,S,0.6519583607998242,0.6700656640491109,0.6013513513513513,0.6234676007005254
3,Marginal,M,0.6111294221050318,0.6359051326310906,0.5709459459459459,0.5961199294532628
3,Clear,S,0.8918418079096044,0.9154424349673667,0.8533333333333334,0.8579088471849866
3,Clear,M,0.8798101694915254,0.896674015811367,0.8533333333333334,0.8579088471849866
4,Marginal,S,0.6622464282895255,0.6807787274854135,0.6504854368932039,0.6666666666666666
4,Marginal,M,0.6238061409740311,0.6227689844062663,0.6343042071197411,0.6468646864686468
4,Clear,S,0.887592471205169,0.8916440699805822,0.850828729281768,0.853185595567867
4,Clear,M,0.8771701470175111,0.8838653544270438,0.850828729281768,0.850828729281768
5,Marginal,S,0.6503800675675677,0.6760066194833915,0.625,0.6457242582897034
5,Marginal,M,0.6159628378378378,0.6330607602629024,0.6081081081081081,0.6304728546409807
5,Clear,S,0.8792380952380952,0.8982061187984076,0.84,0.860655737704918
5,Clear,M,0.8679955703211517,0.8850757751134526,0.8373333333333334,0.8579234972677595
6,Marginal,S,0.6520186839394324,0.6817957078234019,0.6387959866220736,0.6586206896551724
6,Marginal,M,0.611517999520201,0.6469157022891101,0.6053511705685619,0.6252158894645942
6,Clear,S,0.8691815223542727,0.8812082548396599,0.8279569892473119,0.8392370572207084
6,Clear,M,0.8473843378607808,0.860181011491676,0.8279569892473119,0.8403819918144612
7,Marginal,S,0.6522089947089946,0.6696109754761393,0.6066666666666667,0.6419753086419753
7,Marginal,M,0.6336640211640211,0.661914857829261,0.5966666666666667,0.6215277777777778
7,Clear,S,0.9181395088557065,0.9291773916388527,0.8706199460916442,0.8922651933701657
7,Clear,M,0.9028530391068748,0.9110332622034172,0.8679245283018868,0.8907330567081605
8,Marginal,S,0.6539702431740615,0.6473740399901212,0.5631399317406144,0.6
8,Marginal,M,0.6167342150170648,0.6262729287176689,0.5699658703071673,0.5985663082437276
8,Clear,S,0.8814443516197902,0.9041922133527527,0.828042328042328,0.8517006802721089
8,Clear,M,0.8664160401002505,0.8849779728980615,0.828042328042328,0.8505434782608695
9,Marginal,S,0.6316973329421463,0.6600643238556363,0.5892255892255892,0.6205673758865248
9,Marginal,M,0.595428699163139,0.6473166612492283,0.5791245791245792,0.5982608695652174
9,Clear,S,0.8752941176470588,0.8883934061301535,0.8422459893048129,0.8548168249660787
9,Clear,M,0.8696524064171124,0.8855639028668577,0.8422459893048129,0.8536585365853658
10,Marginal,S,0.6819496076001653,0.6846159538469045,0.6171003717472119,0.649706457925636
10,Marginal,M,0.6204378356051219,0.6135537669691689,0.6133828996282528,0.6333973128598849
