seed,Group,Model,n,ROC,PR,Rec,F1
21,Rich,S,353,0.81195818,0.85425128,0.75362319,0.77419355
21,Rich,M,353,0.81106479,0.84606314,0.72946860,0.76070529
21,Sparse,S,859,0.81889459,0.84092999,0.70689655,0.73625140
21,Sparse,M,859,0.82372326,0.84424783,0.72198276,0.75280899
22,Rich,S,353,0.77769049,0.82261929,0.72139303,0.73791349
22,Rich,M,353,0.77821419,0.81936959,0.71641791,0.73096447
22,Sparse,S,859,0.83147733,0.85597006,0.73617021,0.76295480
22,Sparse,M,859,0.83180550,0.85710863,0.73617021,0.76127613
23,Rich,S,354,0.83243226,0.85335450,0.76732673,0.79081633
23,Rich,M,354,0.83721991,0.85531083,0.76237624,0.78772379
23,Sparse,S,858,0.84119798,0.86502558,0.77825160,0.78833693
23,Sparse,M,858,0.84098421,0.86544079,0.78251599,0.78586724
24,Rich,S,344,0.81435823,0.84951991,0.69543147,0.74054054
24,Rich,M,344,0.80838427,0.84116236,0.69035533,0.74114441
24,Sparse,S,868,0.79726488,0.82319893,0.71729958,0.74235808
24,Sparse,M,868,0.80331020,0.83023097,0.72151899,0.74428727
25,Rich,S,350,0.81954108,0.86846045,0.69306931,0.74666667
25,Rich,M,350,0.81920658,0.86875069,0.68316832,0.73015873
25,Sparse,S,862,0.81918651,0.83780085,0.75906183,0.76806904
25,Sparse,M,862,0.81864397,0.83877869,0.76759062,0.76677316
26,Rich,S,347,0.79629011,0.80148609,0.65240642,0.70520231
26,Rich,M,347,0.79271390,0.79615660,0.64171123,0.69565217
26,Sparse,S,865,0.85087634,0.87677193,0.74793388,0.78781284
26,Sparse,M,865,0.84971584,0.87594986,0.75826446,0.78755365
27,Rich,S,356,0.79874696,0.82400377,0.72727273,0.75392670
27,Rich,M,356,0.79718067,0.82104861,0.71717172,0.73958333
27,Sparse,S,856,0.83237929,0.85531239,0.75264271,0.77391304
27,Sparse,M,856,0.83248969,0.85418714,0.75898520,0.78213508
28,Rich,S,367,0.79953142,0.82239556,0.73399015,0.73762376
28,Rich,M,367,0.80163403,0.82233208,0.74876847,0.75434243
28,Sparse,S,845,0.83511302,0.84864515,0.76495726,0.78594951
28,Sparse,M,845,0.83664332,0.85125786,0.75213675,0.76855895
29,Rich,S,354,0.81533581,0.82243410,0.71276596,0.73829201
29,Rich,M,354,0.81479108,0.82618090,0.73404255,0.74796748
29,Sparse,S,858,0.82084196,0.84701942,0.73913043,0.76856835
29,Sparse,M,858,0.81995307,0.84451726,0.74327122,0.76873662
30,Rich,S,338,0.83762439,0.86349055,0.74866310,0.76712329
30,Rich,M,338,0.83719942,0.86221699,0.77005348,0.77837838
30,Sparse,S,874,0.81127357,0.84237974,0.68801653,0.73348018
30,Sparse,M,874,0.81125238,0.84259221,0.69834711,0.74285714
31,Rich,S,340,0.79337048,0.82424639,0.71428571,0.73369565
31,Rich,M,340,0.79757525,0.81961022,0.73015873,0.74193548
31,Sparse,S,872,0.83237046,0.86232672,0.73236515,0.76324324
31,Sparse,M,872,0.83023194,0.85554947,0.74481328,0.77038627
32,Rich,S,360,0.83297591,0.85278192,0.76410256,0.77402597
32,Rich,M,360,0.83499611,0.85792343,0.77948718,0.78350515
32,Sparse,S,852,0.82980958,0.84651303,0.72058824,0.75968992
32,Sparse,M,852,0.82571965,0.84643931,0.72899160,0.76431718
33,Rich,S,374,0.82356875,0.85958414,0.70616114,0.76020408
33,Rich,M,374,0.81984706,0.85651585,0.70142180,0.74185464
33,Sparse,S,838,0.82973315,0.84915509,0.74347826,0.76681614
33,Sparse,M,838,0.83174603,0.85336004,0.75869565,0.77041943
34,Rich,S,341,0.84689146,0.88642985,0.74871795,0.77453581
34,Rich,M,341,0.84229013,0.88246604,0.74871795,0.78074866
34,Sparse,S,871,0.82401340,0.85198363,0.71848739,0.74509804
34,Sparse,M,871,0.82615147,0.85561097,0.71638655,0.74372955
35,Rich,S,351,0.81234568,0.82133652,0.72222222,0.74074074
35,Rich,M,351,0.81595192,0.82357724,0.72222222,0.73446328
35,Sparse,S,861,0.83685804,0.87081288,0.75356415,0.77894737
35,Sparse,M,861,0.83456267,0.86994797,0.73930754,0.76988335
36,Rich,S,369,0.82660692,0.83937993,0.76354680,0.77694236
36,Rich,M,369,0.83132530,0.84828168,0.75369458,0.76884422
36,Sparse,S,843,0.80558405,0.82943597,0.73290598,0.74809160
36,Sparse,M,843,0.80744160,0.82844788,0.74572650,0.75787188
37,Rich,S,337,0.80669956,0.84402365,0.68783069,0.73446328
37,Rich,M,337,0.81317031,0.84735496,0.71957672,0.74725275
37,Sparse,S,875,0.82604817,0.85201163,0.74273859,0.76089267
37,Sparse,M,875,0.83087855,0.85876087,0.75518672,0.76550999
38,Rich,S,354,0.83681981,0.86087439,0.75634518,0.78215223
38,Rich,M,354,0.82488926,0.84711146,0.73096447,0.75392670
38,Sparse,S,858,0.84738704,0.87458164,0.74261603,0.76939891
38,Sparse,M,858,0.84613990,0.87237999,0.74683544,0.77802198
39,Rich,S,349,0.82776854,0.83669951,0.73195876,0.76139410
39,Rich,M,349,0.83119388,0.83597693,0.75773196,0.77368421
39,Sparse,S,863,0.86699037,0.88337414,0.77777778,0.79784946
39,Sparse,M,863,0.86431279,0.88197441,0.77358491,0.79099678
40,Rich,S,359,0.83577007,0.85068790,0.71649485,0.75749319
40,Rich,M,359,0.82845986,0.84221058,0.73195876,0.75733333
40,Sparse,S,853,0.82708863,0.85574172,0.75052411,0.76989247
40,Sparse,M,853,0.82614077,0.85199144,0.74633124,0.76641550
41,Rich,S,352,0.80277421,0.83551396,0.75124378,0.76455696
41,Rich,M,352,0.80336727,0.83344792,0.76119403,0.77078086
41,Sparse,S,860,0.81458811,0.83980828,0.71702128,0.74722838
41,Sparse,M,860,0.81887070,0.84463377,0.72127660,0.74917127
42,Rich,S,345,0.83110855,0.85905716,0.70744681,0.75354108
42,Rich,M,345,0.82965171,0.85957510,0.69148936,0.74498567
42,Sparse,S,867,0.82035024,0.85354852,0.70600414,0.74862788
42,Sparse,M,867,0.82108890,0.85240525,0.71014493,0.75301866
43,Rich,S,328,0.80790274,0.83952169,0.76063830,0.77297297
43,Rich,M,328,0.81025836,0.83676465,0.75000000,0.76422764
43,Sparse,S,884,0.80576509,0.82882511,0.75983437,0.76299376
43,Sparse,M,884,0.80528492,0.82979138,0.74741201,0.75523013
44,Rich,S,355,0.83955128,0.85141140,0.79487179,0.79691517
44,Rich,M,355,0.82762821,0.84326357,0.76923077,0.77720207
44,Sparse,S,857,0.83417146,0.85667410,0.77100840,0.78502674
44,Sparse,M,857,0.83492137,0.85729452,0.77310924,0.78632479
45,Rich,S,343,0.81965458,0.84469313,0.70984456,0.74863388
45,Rich,M,343,0.81554404,0.84147477,0.72020725,0.75135135
45,Sparse,S,869,0.80297274,0.82158351,0.73640167,0.75943905
45,Sparse,M,869,0.80214877,0.82054697,0.71966527,0.74863983
46,Rich,S,347,0.77975910,0.80647716,0.70466321,0.71767810
46,Rich,M,347,0.78097033,0.81080067,0.74093264,0.73521851
46,Sparse,S,865,0.82167299,0.83798491,0.75104603,0.76791444
46,Sparse,M,865,0.82245683,0.83562266,0.74476987,0.76149733
47,Rich,S,342,0.79467720,0.80273001,0.74175824,0.74175824
47,Rich,M,342,0.79759615,0.81570760,0.73626374,0.73626374
47,Sparse,S,870,0.81685265,0.84431398,0.72392638,0.75560299
47,Sparse,M,870,0.81617098,0.84091931,0.72597137,0.75612354
48,Rich,S,347,0.82820856,0.84203414,0.71657754,0.75492958
48,Rich,M,347,0.83308824,0.84939018,0.72192513,0.75630252
48,Sparse,S,865,0.82321425,0.85128543,0.70867769,0.75054705
48,Sparse,M,865,0.81822520,0.84727069,0.69834711,0.74285714
49,Rich,S,342,0.80796518,0.81954944,0.75977654,0.76190476
49,Rich,M,342,0.81324331,0.81872510,0.76536313,0.75900277
49,Sparse,S,870,0.82635932,0.85323525,0.76626016,0.78378378
49,Sparse,M,870,0.82701263,0.85490552,0.76829268,0.78586279
50,Rich,S,368,0.84845186,0.87673728,0.80188679,0.80760095
50,Rich,M,368,0.84579100,0.86908516,0.78301887,0.79807692
50,Sparse,S,844,0.81887785,0.84236687,0.75816993,0.76736494
50,Sparse,M,844,0.81935885,0.84453208,0.75163399,0.76243094
