row_id,success_count,credit_score,loan_amount,num_investors,interest_rate,total_count,success_rate,loan_purpose,social_insurance,months_of_service,loan_year,age,bank_loan
2019,-5.1993376,2.4685966,1.0841952,1.4181186,-2.3863399,-5.1993376,0.25360621,5.1993376,-5.1993376,1.6733892,2.1196682,0.14858402,2.3042676
2020,-5.1993376,-0.11062728,-0.7315153,-1.8179677,-0.26398459,-5.1993376,0.25360621,5.1993376,5.1993376,-5.1993376,0.69910809,-2.1079532,-5.1993376
2021,-5.1993376,1.8245559,-0.1422445,-0.041412601,0.087932998,-5.1993376,0.25360621,5.1993376,5.1993376,-0.45564031,0.69910809,-1.2502419,-5.1993376
2022,-5.1993376,-0.83200627,-0.7315153,-1.144896,0.63946185,-0.1422445,-0.67055744,5.1993376,5.1993376,-0.92233022,-5.1993376,-0.79704409,-5.1993376
2023,1.0230033,-0.68317781,-0.1422445,0.17400458,-0.26398459,0.62109893,0.96142934,5.1993376,-5.1993376,1.3978365,0.69910809,-0.36553148,-5.1993376
2024,1.4181186,-0.718462,-0.1422445,-1.8179677,1.2023467,1.2612822,0.25360621,5.1993376,-5.1993376,-0.92233022,-5.1993376,-0.001254569,0.61957818
2025,-5.1993376,0.46400712,0.91087287,0.32954771,-0.26398459,-5.1993376,0.25360621,5.1993376,-5.1993376,0.324254,0.18547963,-1.4678604,-5.1993376
2026,0.51349142,0.45424896,1.0841952,1.2895781,-0.69112102,0.62109893,-0.36687305,5.1993376,-5.1993376,0.51635627,0.69910809,0.29922973,1.065681
2027,-5.1993376,-1.0082941,-5.1993376,-1.8179677,0.63946185,-5.1993376,0.25360621,5.1993376,-5.1993376,0.26658359,1.3781138,-1.2502419,-5.1993376
2028,0.51349142,0.62872436,-0.7315153,-0.6150245,0.63946185,-0.1422445,1.2447784,5.1993376,-5.1993376,0.48930663,-0.60746322,0.58052362,-5.1993376
2029,-5.1993376,0.73315571,-0.7315153,-0.18547963,0.63946185,-5.1993376,0.25360621,5.1993376,-5.1993376,0.22262957,0.18547963,-1.0230033,-5.1993376
2030,-5.1993376,-0.21491982,-1.1644437,-0.23808933,-0.26398459,0.62109893,-1.5215251,5.1993376,5.1993376,-0.17018472,-0.21363612,-1.2502419,-5.1993376
2031,0.51349142,-1.5799684,0.55253687,-0.29005812,0.40471681,1.2612822,-1.1768904,-5.1993376,5.1993376,0.40471681,-1.1694007,-0.17527843,-5.1993376
2032,1.0230033,-1.0166724,-0.7315153,-0.90518882,-0.83733836,0.87535389,0.25360621,5.1993376,-5.1993376,-0.55985906,2.1196682,0.29922973,-5.1993376
